file_paths,event_title,event_category,event_start,event_end,instructor1,url1_instr,instructor2,url2_instr,instructor3,url3_instr,instructor4,url4_instr,instructor5,url5_instr,instructor6,url6_instr,instructor7,url7_instr,instructor8,url8_instr,instructor9,url9_instr,helper1,url_help1,helper2,url_help2,helper3,url_help3,helper4,url_help4,helper5,url_help5,presenter1,url_pres1,presenter2,url_pres2,presenter3,url_pres3,presenter4,url_pres4,presenter5,url_pres5,presenter6,url_pres6,presenter7,url_pres7,presenter8,url_pres8,presenter9,url_pres9,presenter10,url_pres10,host1,url_host1,host2,url_host2,host3,url_host3,host4,url_host4,host5,url_host5,organizers1,url1_org,organizers2,url2_org,organizers3,url3_org,organizers4,url4_org,organizers5,url5_org,organizers6,url6_org,organizers7,url7_org,organizers8,url8_org,contact_email
events/events/20220722_open_science_knowledge_and_prevalence_of_qrps_among_students__a_call_to_update_our_curricula.qmd,""" Open Science knowledge and prevalence of QRPs among students - a call to update our curricula""",ReproducibiliTea Journal Club,22-Jul-22,22-Jul-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maximilian Frank ,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Stephan Nuding,,Leonhard Schramm,,,,,,,,,,,,reproducibilitea.munich@gmail.com
events/events/20220729_better_theory_development_as_a_response_to_the_prevalence_of_qrps.qmd,"""Better theory development as a response to the prevalence of QRPs""",ReproducibiliTea Journal Club,29-Jul-22,29-Jul-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Dr. Chris Donkin,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Stephan Nuding,,Leonhard Schramm,,,,,,,,,,,,reproducibilitea.munich@gmail.com
events/events/20220922_git_basic_training.qmd,"""One step towards Reproducible Science: Git basic training""",Workshop,12-Sep-22,12-Sep-22,PD Dr. Luisa Jimenez-Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Science Initiative in Medicine (OSIM),,"Institute for Medical Information Processing, Biometry, and Epidemiology (IBE)",,,,,,,,Christina Nießl,,,,,,,,,,,,,,,,cniessl@ibe.med.uni-muenchen.de
events/events/20221014_advanced_power_analyses.qmd,"""Advanced Power Analyses""",Workshop,14-Oct-22,14-Oct-22,Prof Dr. Felix Schönbrodt,,Dr. Moritz Fischer ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Science Initiative in Psychology (OSIP),,LMU Open Science Center ,,,,,,,,Ramona Schödel,,Larissa Sust,,Lena Schiestel,,Dr. Malika Ihle,,,,,,,,,,malika.ihle@lmu.de 
events/events/20221027_version_control_with_gitgithub_within_rstudio.qmd,"""Version control with Git/GitHub within RStudio""",Workshop,27-Oct-22,27-Oct-22,Dr. Malika Ihle ,,,,,,,,,,,,,,,,,,Felix Henninger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Science Initiative in Psychology (OSIP),,LMU Open Science Center ,,,,,,,,Dr. Malika Ihle,,Ramona Schödel,,Larissa Sust,,Lena Schiestel,,,,,,,,,,malika.ihle@lmu.de 
events/events/20221111_welcome_to_the_open_science_universe.qmd,"""Welcome to the Open Science Universe""",ReproducibiliTea Journal Club,11-Nov-22,11-Nov-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Franka Etzel,,Laura Goetz,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Stephan Nuding,,Leonhard Schramm,,Franka Etzel,,Viktoria Wiegelmann,,Gracia Pruem,,,,,,reproducibilitea.munich@gmail.com
events/events/20221117_meta_research_and_the_quest_for_responsible_research.qmd,"Seminar: ""Meta Research and the QUEST for responsible research""",Lecture,17-Nov-22,17-Nov-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PD Dr. Ulf Tölch,,,,,,,,,,,,,,,,,,,,LMU Open Science Center ,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20221125_what_is_your_idea_of_open_science.qmd,"""Elaborating the umbrella term: What is your idea of Open Science?""",ReproducibiliTea Journal Club,25-Nov-22,25-Nov-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Stephan Nuding,,Leonhard Schramm,,Franka Etzel,,Viktoria Wiegelmann,,,,Gracia Pruem,,,,reproducibilitea.munich@gmail.com
events/events/20221027_version_control_with_gitgithub_within_rstudio.qmd,"""Version control with Git/GitHub within RStudio""",Workshop,27-Oct-22,27-Oct-22,Dr. Malika Ihle ,,OSC Fellows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Science Initiative in Psychology (OSIP),,LMU Open Science Center ,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20221216_positionality_statements__should_authors_be_more_transparent_about_themselves.qmd,"""Positionality statements - Should authors be more transparent about themselves?""",ReproducibiliTea Journal Club,16-Dec-22,16-Dec-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Stephan Nuding,,Leonhard Schramm,,Franka Etzel,,Viktoria Wiegelmann,,Gracia Prüm,,Alp Kaan Aksu,,,,reproducibilitea.munich@gmail.com
events/events/20230117_theoriebildung_in_der_psychologie.qmd,"""Theoriebildung in der Psychologie""",Workshop,17-Jan-23,17-Jan-23,Lena Schiestel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Science Initiative in Psychology (OSIP),,LMU Open Science Center ,,,,,,,,Ramona Schödel,,Larissa Sust,,Lena Schiestel,,,,,,,,,,,,malika.ihle@lmu.de
events/events/20230213_a_series_of_events_on_research_data_management_(1317_februar).qmd,Love Data Week: a series of events on research data management,Event,13-Feb-23,17-Feb-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Veit Schwab,,Dr. Florian Schreck,,Prof. Dr. Felix Schönbrodt,,Laura Meier,,Dr. Martin Spenger,,Vanessa Gabriel,,Christiane Bayer ,,,,,,,,LMU University Library (UB),,,,,,,,,,LMU University Library (UB),,Dr. Martin Spenger,,,,,,,,,,,,,,martin.spenger@ub.uni-muenchen.de
events/events/20230126_reproducible_research_in_r_how_to_do_the_same_thing_more_than_once_(26012023).qmd,Reproducible Research in R | How to do the same thing more than once,Workshop,26-Jan-23,26-Jan-23,Aaron Peikert,,,,,,,,,,,,,,,,,,Felix Henninger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center ,,,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,malika.ihle@lmu.de
events/events/20230127_the_ideal_of_preregistration_and_what_warrants_it.qmd,"""The Ideal of Preregistration and what warrants it""",ReproducibiliTea Journal Club,27-Jan-23,27-Jan-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Peikert,,,,,,,,,,,,,,,,,,,,ReproducibiliTea Team,,,,,,,,,,Laura Goetz,,Stephan Nuding,,Leonhard Schramm,,Franka Etzel,,Viktoria Wiegelmann,,Gracia Prüm,,Alp Kaan Aksu,,Finia Loeb,,reproducibilitea.munich@gmail.com
events/events/20230210_offene_forschungsdaten_vs_datenschutz_und_anonymitat_(10022023).qmd,"""Offene Forschungsdaten vs. Datenschutz und Anonymität?"" (10.02.2023)",Workshop,10-Feb-23,10-Feb-23,Prof. Felix Schoenbrodt,,Dr. Anton Marx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Science Initiative in Psychology (OSIP),,LMU Open Science Center ,,,,,,,,Ramona Schödel,,Larissa Sust,,Lena Schiestel,,Dr. Malika Ihle,,,,,,,,,,malika.ihle@lmu.de 
events/events/20230227_introduction_to_credible_research.qmd,Introduction to credible research,Lecture,27-Feb-23,27-Feb-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20230307_version_control_with_git_github_within_rstudio.qmd,Version control with Git/GitHub within RStudio,Workshop,7-Mar-23,7-Mar-23,Dr. Malika Ihle,,,,,,,,,,,,,,,,,,Dr. Luisa Jiménez-Soto,,Pat Callahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,,,,,,,,,,,,,,,malika.ihle@lmu.de 
events/events/20230313_how_to_implement_responsible_procedures_and_move_beyond_impact_factors_and_hindex.qmd,"""Reforming Research Assessment: how to implement responsible procedures and move beyond impact factors and h-index?""",Symposium,13-Mar-23,13-Mar-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Dr. Toma Susi,,Dr.Tobias Grimm,,Dr.Jess Rohmann ,,Prof. Dr. Kristin Mitte,,Prof. Dr. Felix Schönbrodt,,,,,,,,,,,,LMU Open Science Center,,,,,,,,,,Dr. Malika Ihle,,Dr. Heidi Seibold,,,,,,,,,,,,,,malika.ihle@lmu.de 
